# TIR,TBR,TAR,MeanGlucose
5.069444444444444287e+01,0.000000000000000000e+00,4.930555555555555713e+01,1.978405402342258128e+02
4.409722222222222143e+01,0.000000000000000000e+00,5.590277777777777857e+01,1.980217887641493348e+02
3.194444444444444287e+01,0.000000000000000000e+00,6.805555555555555713e+01,2.336418047820222625e+02
3.333333333333332860e+01,0.000000000000000000e+00,6.666666666666665719e+01,2.247618434611770795e+02
5.104166666666666430e+01,0.000000000000000000e+00,4.895833333333332860e+01,2.016079098020928768e+02
3.229166666666667140e+01,0.000000000000000000e+00,6.770833333333334281e+01,2.899273179365384863e+02
2.708333333333333215e+01,0.000000000000000000e+00,7.291666666666665719e+01,2.752744635557417041e+02
4.236111111111110716e+01,0.000000000000000000e+00,5.763888888888888573e+01,1.968824635708855340e+02
5.138888888888888573e+01,0.000000000000000000e+00,4.861111111111110716e+01,2.028364158387679197e+02
4.895833333333332860e+01,0.000000000000000000e+00,5.104166666666666430e+01,2.108543809049959634e+02
5.173611111111111427e+01,0.000000000000000000e+00,4.826388888888889284e+01,1.785778931599336374e+02
4.930555555555555713e+01,0.000000000000000000e+00,5.069444444444444287e+01,2.319696561710385367e+02
4.756944444444444287e+01,0.000000000000000000e+00,5.243055555555555713e+01,1.907926206998010343e+02
3.784722222222222143e+01,0.000000000000000000e+00,6.215277777777777857e+01,2.154148655187246675e+02
4.791666666666667140e+01,0.000000000000000000e+00,5.208333333333333570e+01,2.051447790005092031e+02
5.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+01,1.974773662383354349e+02
5.034722222222222143e+01,0.000000000000000000e+00,4.965277777777777857e+01,2.286766937335656280e+02
5.173611111111111427e+01,0.000000000000000000e+00,4.826388888888889284e+01,2.190223223409725222e+02
6.701388888888888573e+01,0.000000000000000000e+00,3.298611111111110716e+01,1.773533436742924323e+02
3.402777777777777857e+01,0.000000000000000000e+00,6.597222222222221433e+01,2.045276775354904544e+02
6.145833333333333570e+01,0.000000000000000000e+00,3.854166666666667140e+01,1.742524914307988411e+02
5.659722222222222143e+01,0.000000000000000000e+00,4.340277777777777857e+01,1.729867387148832449e+02
6.770833333333334281e+01,0.000000000000000000e+00,3.229166666666667140e+01,1.777716698264352431e+02
5.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+01,1.787916463723962579e+02
3.923611111111110716e+01,0.000000000000000000e+00,6.076388888888888573e+01,2.012635431799128298e+02
6.562500000000000000e+01,0.000000000000000000e+00,3.437500000000000000e+01,1.864141148992087835e+02
5.729166666666666430e+01,0.000000000000000000e+00,4.270833333333332860e+01,1.754591202785486530e+02
5.937500000000000000e+01,0.000000000000000000e+00,4.062500000000000000e+01,2.239511057774944902e+02
6.944444444444444287e+01,0.000000000000000000e+00,3.055555555555555713e+01,1.657859292269218940e+02
7.187500000000000000e+01,0.000000000000000000e+00,2.812500000000000000e+01,1.938737222212451741e+02
