# TIR,TBR,TAR,MeanGlucose
3.645833333333332860e+01,0.000000000000000000e+00,6.354166666666666430e+01,2.489373970561140368e+02
3.125000000000000000e+01,0.000000000000000000e+00,6.875000000000000000e+01,2.695728962179139216e+02
1.944444444444444642e+01,0.000000000000000000e+00,8.055555555555555713e+01,3.917141230830168297e+02
1.562500000000000000e+01,0.000000000000000000e+00,8.437500000000000000e+01,4.259231206477463729e+02
3.576388888888889284e+01,0.000000000000000000e+00,6.423611111111111427e+01,2.413136513988753507e+02
2.291666666666666430e+01,0.000000000000000000e+00,7.708333333333334281e+01,3.776276738465675180e+02
1.631944444444444642e+01,0.000000000000000000e+00,8.368055555555555713e+01,4.532006526787535563e+02
2.986111111111111072e+01,0.000000000000000000e+00,7.013888888888888573e+01,2.785485402110285236e+02
3.611111111111110716e+01,0.000000000000000000e+00,6.388888888888888573e+01,2.490622028730544457e+02
3.090277777777777857e+01,0.000000000000000000e+00,6.909722222222221433e+01,2.931077178633030940e+02
2.743055555555555713e+01,0.000000000000000000e+00,7.256944444444444287e+01,2.842969868382609775e+02
3.055555555555555713e+01,0.000000000000000000e+00,6.944444444444444287e+01,3.140147752922192694e+02
2.152777777777777857e+01,0.000000000000000000e+00,7.847222222222221433e+01,3.682615462707935308e+02
2.256944444444444642e+01,0.000000000000000000e+00,7.743055555555555713e+01,3.635910904550093505e+02
2.638888888888888928e+01,0.000000000000000000e+00,7.361111111111111427e+01,3.402573061352077275e+02
2.291666666666666430e+01,0.000000000000000000e+00,7.708333333333334281e+01,3.047261425978438183e+02
3.125000000000000000e+01,0.000000000000000000e+00,6.875000000000000000e+01,3.099344773258990244e+02
4.444444444444444287e+01,0.000000000000000000e+00,5.555555555555555713e+01,2.881620282469220342e+02
2.916666666666666785e+01,0.000000000000000000e+00,7.083333333333334281e+01,3.160616285387079643e+02
1.909722222222222143e+01,0.000000000000000000e+00,8.090277777777778567e+01,4.083801579041738705e+02
1.319444444444444464e+01,0.000000000000000000e+00,8.680555555555555713e+01,4.901923723191929412e+02
2.222222222222222143e+01,0.000000000000000000e+00,7.777777777777778567e+01,3.639667052780929453e+02
2.222222222222222143e+01,0.000000000000000000e+00,7.777777777777778567e+01,3.609235969505746198e+02
1.284722222222222143e+01,0.000000000000000000e+00,8.715277777777778567e+01,4.898976958009950522e+02
1.527777777777777857e+01,0.000000000000000000e+00,8.472222222222221433e+01,4.629897738076037399e+02
1.701388888888888928e+01,0.000000000000000000e+00,8.298611111111111427e+01,4.168854667192528609e+02
2.326388888888888928e+01,0.000000000000000000e+00,7.673611111111111427e+01,3.500349876955706350e+02
2.291666666666666430e+01,0.000000000000000000e+00,7.708333333333334281e+01,3.579414438980715545e+02
1.631944444444444642e+01,0.000000000000000000e+00,8.368055555555555713e+01,4.189153267660286701e+02
2.118055555555555358e+01,0.000000000000000000e+00,7.881944444444444287e+01,3.979667184158833493e+02
